moth_id,date,timestamp,position_x,position_y,length_mm,width_mm,area_mm2,species,source_image
7,2024-12-11,2024-12-11 15:49:04.913294,1841,2511,22.17,7.54,167.24,,15-49-04.jpg
8,2024-12-11,2024-12-11 15:49:04.913294,3593,1753,5.79,9.81,56.81,,15-49-04.jpg
9,2024-12-11,2024-12-11 15:49:04.913294,3966,3902,11.87,5.18,61.45,,15-49-04.jpg
10,2024-12-11,2024-12-11 15:49:04.913294,1149,1188,16.89,9.94,167.96,,15-49-04.jpg
11,2024-12-11,2024-12-11 15:49:04.913294,2299,1389,3.83,8.99,34.44,,15-49-04.jpg
12,2024-12-11,2024-12-11 15:49:04.913294,3711,1029,14.29,9.35,133.67,,15-49-04.jpg
13,2024-12-11,2024-12-11 15:49:04.913294,1436,2274,25.18,9.72,244.77,,15-49-04.jpg
14,2024-12-11,2024-12-11 15:49:04.913294,2614,1639,22.98,8.16,187.56,,15-49-04.jpg
15,2024-12-11,2024-12-11 15:49:04.913294,1137,2194,5.76,10.31,59.36,,15-49-04.jpg
16,2024-12-11,2024-12-11 15:49:04.913294,3653,2678,28.47,9.56,272.16,,15-49-04.jpg
17,2024-12-11,2024-12-11 15:49:04.913294,2992,3852,9.72,3.8,36.9,,15-49-04.jpg
18,2024-12-11,2024-12-11 15:49:04.913294,3884,2512,17.19,6.42,110.34,,15-49-04.jpg
19,2024-12-11,2024-12-11 15:49:04.913294,3654,2738,18.05,8.52,153.79,,15-49-04.jpg
20,2024-12-11,2024-12-11 15:49:04.913294,2809,3778,7.68,4.15,31.9,,15-49-04.jpg
21,2024-12-11,2024-12-11 15:49:04.913294,1465,3566,4.37,7.87,34.36,,15-49-04.jpg
22,2024-12-11,2024-12-11 15:49:04.913294,2981,2641,8.19,3.18,26.04,,15-49-04.jpg
23,2024-12-11,2024-12-11 15:49:04.913294,2414,3986,9.68,3.53,34.12,,15-49-04.jpg
24,2024-12-11,2024-12-11 15:49:04.913294,3461,2577,4.91,10.43,51.18,,15-49-04.jpg
25,2024-12-11,2024-12-11 15:49:04.913294,3537,1323,10.33,3.79,39.12,,15-49-04.jpg
26,2024-12-11,2024-12-11 15:49:04.913294,1759,3423,17.26,10.52,181.54,,15-49-04.jpg
27,2024-12-11,2024-12-11 15:49:04.913294,2238,3271,6.08,11.84,71.92,,15-49-04.jpg
28,2024-12-11,2024-12-11 15:49:04.913294,3827,3520,9.22,14.42,133.01,,15-49-04.jpg
29,2024-12-11,2024-12-11 15:49:04.913294,3839,3240,45.19,16.37,739.56,unknown,15-49-04.jpg
30,2024-12-11,2024-12-11 15:49:04.913294,2225,1336,9.39,3.57,33.49,,15-49-04.jpg
31,2024-12-11,2024-12-11 15:49:04.913294,1808,1283,15.54,6.02,93.55,,15-49-04.jpg
32,2024-12-11,2024-12-11 15:49:04.913294,2229,1874,3.39,7.12,24.15,,15-49-04.jpg
33,2024-12-11,2024-12-11 15:49:04.913294,3862,2035,41.74,24.87,1037.98,unknown,15-49-04.jpg
34,2024-12-11,2024-12-11 15:49:04.913294,1756,1898,14.92,9.41,140.38,,15-49-04.jpg
35,2024-12-11,2024-12-11 15:49:04.913294,3048,2855,18.97,30.36,575.87,,15-49-04.jpg
36,2024-12-11,2024-12-11 15:49:04.913294,2594,3810,7.6,4.26,32.37,,15-49-04.jpg
37,2024-12-11,2024-12-11 15:49:04.913294,3342,3398,7.05,2.5,17.65,,15-49-04.jpg
38,2024-12-11,2024-12-11 15:49:04.913294,3445,2447,11.16,21.98,245.31,,15-49-04.jpg
39,2024-12-11,2024-12-11 15:49:04.913294,3976,3359,5.86,16.14,94.52,,15-49-04.jpg
40,2024-12-11,2024-12-11 15:49:04.913294,3263,2823,29.57,14.16,418.71,,15-49-04.jpg
41,2024-12-11,2024-12-11 15:49:04.913294,2974,3516,23.21,34.9,809.91,,15-49-04.jpg
42,2024-12-11,2024-12-11 15:49:04.913294,2827,1209,4.19,8.63,36.15,,15-49-04.jpg
43,2024-12-11,2024-12-11 15:49:04.913294,3691,1313,14.69,6.99,102.72,,15-49-04.jpg
44,2024-12-11,2024-12-11 15:49:04.913294,1655,3921,22.43,9.66,216.68,,15-49-04.jpg
